Account No.,Client Name,Status, Amount ,CR/DR,
500112345,AARAV INDUSTRIES,PRIVATE LIMITED," 2,45,890.50 ",CR,
500223456,MEHTA AGRO FOODS,PROPRIETOR, -   ,CR,
500334567,SHIVNERI INFRA DEVELOPERS,PARTNERSHIP," 18,75,600.00 ",CR,
500445678,KRISHNA ALLOYS,PROPRIETOR," 6,540.75 ",DR,
500556789,VARDHAN EXPORT HOUSE,PRIVATE LIMITED," 9,87,000.00 ",CR,
500667890,NEXA RETAIL SOLUTIONS,LLP," 3,450.00 ",CR,
500778901,RIDDHI SIDHI ENTERPRISES,PARTNERSHIP," 12,90,876.25 ",CR,
500889012,BLUELOTUS CONSULTING,LLP," 1,25,000.00 ",DR,
500990123,TRIVENI LOGISTICS,PRIVATE LIMITED, -   ,CR,
501101234,SAMPURNA TEXTILES,PRIVATE LIMITED," 5,60,340.00 ",CR,
501212345,ARYAV GLOBAL TRADERS,PROPRIETOR," 2,300.00 ",CR,
501323456,PRAGATI METALS & MINERALS,PARTNERSHIP," 7,45,210.90 ",CR,
501434567,ZENITH BIOTECH LABS,PRIVATE LIMITED," 15,750.00 ",DR,
501545678,GREENFIELD ORGANICS,PROPRIETOR," 4,88,999.99 ",CR,
501656789,URBANEDGE REALTY PROJECTS,LLP, -   ,CR,
501767890,SILVERLINE TECH SERVICES,PRIVATE LIMITED," 89,450.35 ",CR,
501878901,OMKAR PHARMA DISTRIBUTORS,PARTNERSHIP," 2,76,500.00 ",DR,
501989012,SKYHIGH AVIATION SUPPORT,PRIVATE LIMITED," 13,45,000.00 ",CR,
502090123,NOVASTAR ENERGY SOLUTIONS,LLP," 6,780.00 ",CR,
502101234,HORIZON PAPER MILLS,PARTNERSHIP," 3,25,600.00 ",CR,
502212345,APEX METAL WORKS,PRIVATE LIMITED," 4,75,890.00 ",CR,
502223456,SUNSHINE AGRO EXPORTS,PROPRIETOR, -   ,CR,
502234567,GREENVALLEY PROJECTS,PARTNERSHIP," 12,45,600.50 ",CR,
502245678,ORBITAL TECHNOLOGIES,LLP," 8,540.00 ",DR,
502256789,MATRIX PHARMA SOLUTIONS,PRIVATE LIMITED," 9,12,300.00 ",CR,
502267890,SILKROUTE APPARELS,PROPRIETOR," 2,450.75 ",CR,
502278901,ROYAL INDIA LOGISTICS,PARTNERSHIP," 6,90,876.00 ",CR,
502289012,VERTEX CONSULTANTS,LLP," 3,25,000.00 ",DR,
502290123,MAGNUS STEEL INDUSTRIES,PRIVATE LIMITED, -   ,CR,
502301234,BLUEWAVE MARINE EXPORTS,PARTNERSHIP," 5,10,340.00 ",CR,
502312345,TRIDENT INFRA BUILDERS,PRIVATE LIMITED," 7,300.00 ",CR,
502323456,HIMALAYA FOOD PROCESSORS,PROPRIETOR," 2,45,210.90 ",CR,
502334567,NOVA ELECTRIC SYSTEMS,LLP," 19,750.00 ",DR,
502345678,PRIMEPACK CARTONS,PRIVATE LIMITED," 4,18,999.00 ",CR,
502356789,EASTERN SPICE TRADERS,PARTNERSHIP, -   ,CR,
502367890,URBANCREST DEVELOPERS,PRIVATE LIMITED," 1,89,450.00 ",CR,
502378901,SHAKTI CHEMICAL SUPPLIERS,PROPRIETOR," 76,500.00 ",DR,
502389012,ASTRAL ENERGY VENTURES,LLP," 11,45,000.00 ",CR,
502390123,INNOVEX DIGITAL SOLUTIONS,PRIVATE LIMITED," 9,780.00 ",CR,
502401234,GOLDLINE JEWELS,PARTNERSHIP," 6,25,600.00 ",CR,
502412345,OCEANIC FROZEN FOODS,PRIVATE LIMITED," 3,45,890.25 ",CR,
502423456,KAVYA ENTERPRISES,PROPRIETOR," 1,200.00 ",CR,
502434567,STERLING AUTO COMPONENTS,LLP," 8,75,600.00 ",CR,
502445678,RADIANT CABLE NETWORK,PARTNERSHIP," 5,540.00 ",DR,
502456789,MEGASTAR RETAIL HUB,PRIVATE LIMITED," 14,12,300.00 ",CR,
502467890,CLASSIC HANDLOOMS,PROPRIETOR," 9,450.75 ",CR,
502478901,OM SAI TRANSPORT CO,PARTNERSHIP," 4,90,876.00 ",CR,
502489012,SKYNET IT SERVICES,LLP," 2,25,000.00 ",DR,
502490123,EVERGREEN TIMBERS,PRIVATE LIMITED, -   ,CR,
502501234,SILVER OAK REALTORS,PARTNERSHIP," 7,10,340.00 ",CR,
502512345,BRIGHTSTAR EDUCATION SERVICES,PRIVATE LIMITED," 12,300.00 ",CR,
502523456,ALPINE DAIRY PRODUCTS,PROPRIETOR," 5,45,210.90 ",CR,
502534567,RAPIDEX COURIER NETWORK,LLP," 29,750.00 ",DR,
502545678,METROPRINT SOLUTIONS,PRIVATE LIMITED," 8,18,999.00 ",CR,
502556789,HERITAGE CRAFT EXPORTS,PARTNERSHIP, -   ,CR,
502567890,FUSION BIOTECH INDUSTRIES,PRIVATE LIMITED," 2,89,450.00 ",CR,
502578901,SHREE BALAJI DISTRIBUTORS,PROPRIETOR," 1,26,500.00 ",DR,
502589012,ORBIT POWER SYSTEMS,LLP," 15,45,000.00 ",CR,
502590123,GLOBALEDGE CONSULTING,PRIVATE LIMITED," 4,780.00 ",CR,
502601234,ZENCORE ENGINEERING WORKS,PARTNERSHIP," 9,25,600.00 ",CR,
502612345,AURORA PACKAGING INDUSTRIES,PRIVATE LIMITED," 6,45,890.25 ",CR,
502623456,NAVRATNA TRADING CO,PROPRIETOR," 2,200.00 ",CR,
502634567,TITAN STRUCTURES INDIA,LLP," 18,75,600.00 ",CR,
502645678,PINNACLE SECURITY SERVICES,PARTNERSHIP," 3,540.00 ",DR,
502656789,SUNRISE PAPER PRODUCTS,PRIVATE LIMITED," 11,12,300.00 ",CR,
502667890,VISIONARY MEDIA HOUSE,PROPRIETOR," 5,450.75 ",CR,
502678901,NORTHSTAR SHIPPING,PARTNERSHIP," 9,90,876.00 ",CR,
502689012,TECHSPHERE INNOVATIONS,LLP," 4,25,000.00 ",DR,
502690123,RIVERDALE AGRO MILLS,PRIVATE LIMITED, -   ,CR,
502701234,ARISTO FURNITURE MART,PARTNERSHIP," 8,10,340.00 ",CR,
502712345,SILVERPEAK MINERALS,PRIVATE LIMITED," 7,85,920.00 ",CR,
502723456,MARUTI COLD STORAGE,PROPRIETOR, -   ,CR,
502734567,GALAXY INFRA VENTURES,PARTNERSHIP," 16,45,300.75 ",CR,
502745678,QUICKMOVE LOGISTICS,LLP," 12,540.00 ",DR,
502756789,ELITE PHARMA CARE,PRIVATE LIMITED," 5,12,800.00 ",CR,
502767890,ROYAL SPICES TRADING,PROPRIETOR," 8,450.50 ",CR,
502778901,METROLINE TRANSPORTS,PARTNERSHIP," 9,75,650.00 ",CR,
502789012,SKYBRIDGE CONSULTING,LLP," 2,75,000.00 ",DR,
502790123,TRISHUL METAL INDUSTRIES,PRIVATE LIMITED, -   ,CR,
502801234,OMEGA TEXTILE MILLS,PARTNERSHIP," 6,80,340.00 ",CR,
502812345,CRESTVIEW REALTORS,PRIVATE LIMITED," 21,300.00 ",CR,
502823456,FRESHROOT VEGETABLES,PROPRIETOR," 4,25,110.90 ",CR,
502834567,HYPERION DIGITAL LABS,LLP," 35,750.00 ",DR,
502845678,SUNGLOW PAPER INDUSTRIES,PRIVATE LIMITED," 3,98,999.00 ",CR,
502856789,KESAR IMPEX SOLUTIONS,PARTNERSHIP, -   ,CR,
502867890,ALPHACORE ENGINEERING,PRIVATE LIMITED," 2,49,450.00 ",CR,
502878901,SHANTI MEDICAL AGENCIES,PROPRIETOR," 96,500.00 ",DR,
502889012,EVEREST POWER CONTROLS,LLP," 10,15,000.00 ",CR,
502890123,INFINITY TECH PARKS,PRIVATE LIMITED," 14,780.00 ",CR,
502901234,SAPPHIRE GRANITES,PARTNERSHIP," 5,55,600.00 ",CR,
502912345,HARMONY DAIRY FARMS,PRIVATE LIMITED," 8,95,450.25 ",CR,
502923456,RUDRA ELECTRICALS,PROPRIETOR," 3,200.00 ",CR,
502934567,VECTOR INDUSTRIAL SUPPLIES,LLP," 11,75,600.00 ",CR,
502945678,UNITY FACILITY MANAGEMENT,PARTNERSHIP," 6,540.00 ",DR,
502956789,ZODIAC RETAIL CHAINS,PRIVATE LIMITED," 18,42,300.00 ",CR,
